Katleho Mofokeng | operation insert count 0 | operation find count = 1
Omaatla Mahlangu | operation insert count 6 | operation find count = 15
Bokamoso Mahlangu | operation insert count 5 | operation find count = 17
Siphosethu Buthelezi | operation insert count 5 | operation find count = 15
Caleb Madikizela | operation insert count 5 | operation find count = 15
Amahle Gumede | operation insert count 6 | operation find count = 13
Liam Mogale | operation insert count 6 | operation find count = 15
Ofentse Moeng | operation insert count 6 | operation find count = 17
Lebogang Hendricks | operation insert count 6 | operation find count = 7
Warona Daniels | operation insert count 5 | operation find count = 13
Katlego Mudau | operation insert count 5 | operation find count = 17
Thato Daniels | operation insert count 6 | operation find count = 17
Othalive Nkuna | operation insert count 6 | operation find count = 15
Ofentse Mokoena | operation insert count 6 | operation find count = 15
Leah Molefe | operation insert count 7 | operation find count = 11
Reatlegile Louw | operation insert count 6 | operation find count = 11
Blessing Gumede | operation insert count 7 | operation find count = 9
Kamogelo Booi | operation insert count 6 | operation find count = 11
Othalive Booysen | operation insert count 6 | operation find count = 17
Bokamoso Cloete | operation insert count 5 | operation find count = 17
Junior Mnisi | operation insert count 7 | operation find count = 9
Luphawu Witbooi | operation insert count 6 | operation find count = 13
Reatlegile Mofokeng | operation insert count 6 | operation find count = 15
Remofilwe Khoza | operation insert count 6 | operation find count = 17
Katlego Maseko | operation insert count 7 | operation find count = 15
Enzokuhle Mthembu | operation insert count 7 | operation find count = 7
Amogelang Madikizela | operation insert count 6 | operation find count = 11
Ofentse Mosia | operation insert count 8 | operation find count = 17
Asemahle Dlamini | operation insert count 6 | operation find count = 11
Melokuhle Booi | operation insert count 5 | operation find count = 15
Lebogang Cloete | operation insert count 6 | operation find count = 13
Amohelang Malatji | operation insert count 7 | operation find count = 19
Leano Ngwenya | operation insert count 6 | operation find count = 11
Kungawo Mudau | operation insert count 6 | operation find count = 15
Mia Mkhize | operation insert count 6 | operation find count = 11
Minenhle Olyn | operation insert count 7 | operation find count = 7
Aphelele Moloi | operation insert count 7 | operation find count = 17
Lesedi Nhlapo | operation insert count 6 | operation find count = 15
Lethabo Ndou | operation insert count 6 | operation find count = 11
Nkosenhle Smith | operation insert count 6 | operation find count = 15
Ofentse Dyantyi | operation insert count 6 | operation find count = 13
Siyabonga Witbooi | operation insert count 6 | operation find count = 15
Esihle Mthembu | operation insert count 8 | operation find count = 15
Ava Mkhize | operation insert count 7 | operation find count = 13
Mpho Motloung | operation insert count 8 | operation find count = 15
Angel Petersen | operation insert count 6 | operation find count = 17
Othalive Chauke | operation insert count 6 | operation find count = 17
Amogelang Ngcobo | operation insert count 6 | operation find count = 9
Siphosethu Van | operation insert count 6 | operation find count = 11
Oratile Malatji | operation insert count 8 | operation find count = 11
Mia Davids | operation insert count 6 | operation find count = 15
Lisakhanya Mathebula | operation insert count 8 | operation find count = 9
Lubanzi Mohlala | operation insert count 6 | operation find count = 13
Tshegofatso Maluleke | operation insert count 8 | operation find count = 15
Othalive Buthelezi | operation insert count 6 | operation find count = 15
Thandolwethu Maluleke | operation insert count 8 | operation find count = 13
Bayanda Khumalo | operation insert count 6 | operation find count = 15
Jayden Radebe | operation insert count 6 | operation find count = 17
Oratilwe Olyn | operation insert count 7 | operation find count = 17
Alwande Jack | operation insert count 6 | operation find count = 17
Iminathi Mokoena | operation insert count 8 | operation find count = 13
Oratilwe Ngobeni | operation insert count 7 | operation find count = 17
Luthando Ndou | operation insert count 7 | operation find count = 17
Enzokuhle Mudau | operation insert count 6 | operation find count = 11
Alwande Maluleke | operation insert count 7 | operation find count = 17
Iminathi Visagie | operation insert count 7 | operation find count = 15
Kamogelo Baloyi | operation insert count 6 | operation find count = 17
Siphesihle Modise | operation insert count 7 | operation find count = 17
Amohelang Ngwenya | operation insert count 7 | operation find count = 13
Amohelang Adams | operation insert count 6 | operation find count = 13
Kamogelo Ndlovu | operation insert count 7 | operation find count = 15
Esihle Davids | operation insert count 6 | operation find count = 11
Karabo Mahlangu | operation insert count 7 | operation find count = 17
Lesedi Mthembu | operation insert count 8 | operation find count = 15
Likuwe Van | operation insert count 6 | operation find count = 15
Tshegofatso Mudau | operation insert count 7 | operation find count = 15
Ava Daniels | operation insert count 7 | operation find count = 15
Minenhle Van | operation insert count 7 | operation find count = 15
Melokuhle Modise | operation insert count 7 | operation find count = 13
Tshegofatso Mohlala | operation insert count 7 | operation find count = 15
Phenyo Buthelezi | operation insert count 7 | operation find count = 7
Kamohelo Louw | operation insert count 7 | operation find count = 17
Rethabile Olyn | operation insert count 7 | operation find count = 15
Thato Maseko | operation insert count 7 | operation find count = 11
Lethokuhle Gumede | operation insert count 7 | operation find count = 13
Olerato Peter | operation insert count 7 | operation find count = 17
Katleho Mkhize | operation insert count 7 | operation find count = 17
Bokamoso Booi | operation insert count 7 | operation find count = 17
Bayanda Gumede | operation insert count 7 | operation find count = 17
Junior Dyantyi | operation insert count 7 | operation find count = 15
Onthatile Motaung | operation insert count 8 | operation find count = 13
Bokang Baloyi | operation insert count 7 | operation find count = 11
Leano Tshabalala | operation insert count 6 | operation find count = 15
Lebogang Williams | operation insert count 7 | operation find count = 11
Joshua Sithole | operation insert count 7 | operation find count = 9
Omolemo Ndou | operation insert count 7 | operation find count = 19
Tshegofatso Van | operation insert count 7 | operation find count = 15
Relebohile Moloi | operation insert count 7 | operation find count = 13
Lesedi Molefe | operation insert count 7 | operation find count = 13
Aphelele Nkuna | operation insert count 7 | operation find count = 13
Warona Mosia | operation insert count 8 | operation find count = 13
Katlego Mokoena | operation insert count 8 | operation find count = 15
Siphosethu Louw | operation insert count 7 | operation find count = 13
Omolemo Ngcobo | operation insert count 8 | operation find count = 17
Othalive Williams | operation insert count 8 | operation find count = 15
Lingomso Booysen | operation insert count 7 | operation find count = 13
Lisakhanya Mokoena | operation insert count 8 | operation find count = 17
Bokang Dlamini | operation insert count 7 | operation find count = 17
Tshegofatso Chauke | operation insert count 7 | operation find count = 15
Lethokuhle Smith | operation insert count 7 | operation find count = 17
Asemahle Abrahams | operation insert count 7 | operation find count = 13
Minenhle Molefe | operation insert count 8 | operation find count = 15
Amohelang Mathebula | operation insert count 9 | operation find count = 17
Rethabile Olyn | operation insert count 8 | operation find count = 17
Ava Moloi | operation insert count 8 | operation find count = 19
Leah Nkosi | operation insert count 7 | operation find count = 17
Amohelang Gumede | operation insert count 8 | operation find count = 17
Angel Louw | operation insert count 8 | operation find count = 9
Phenyo Smith | operation insert count 8 | operation find count = 19
Othalive Mofokeng | operation insert count 8 | operation find count = 13
Liam Nkuna | operation insert count 8 | operation find count = 15
Jayden Mthembu | operation insert count 8 | operation find count = 13
Emihle Mohlala | operation insert count 8 | operation find count = 13
Oratilwe Mogale | operation insert count 8 | operation find count = 17
Reneilwe Hendricks | operation insert count 8 | operation find count = 13
Lingomso Daniels | operation insert count 6 | operation find count = 9
Letlotlo Mthembu | operation insert count 8 | operation find count = 13
Ava Radebe | operation insert count 7 | operation find count = 13
Oratilwe Shabangu | operation insert count 7 | operation find count = 15
Rorisang Louw | operation insert count 7 | operation find count = 15
Reatlegile Baloyi | operation insert count 7 | operation find count = 15
Tshegofatso Mogale | operation insert count 8 | operation find count = 17
Banele Nkosi | operation insert count 8 | operation find count = 13
Alunamda Khumalo | operation insert count 7 | operation find count = 15
Enzokuhle Motaung | operation insert count 8 | operation find count = 17
Likuwe Ndlovu | operation insert count 9 | operation find count = 15
Angel Booi | operation insert count 7 | operation find count = 13
Noah Mkhize | operation insert count 8 | operation find count = 17
Lebogang Mofokeng | operation insert count 8 | operation find count = 17
Lubanzi Sithole | operation insert count 8 | operation find count = 15
Onthatile Olyn | operation insert count 8 | operation find count = 13
Lisakhanya Mohlala | operation insert count 8 | operation find count = 15
Reatlegile Beukes | operation insert count 7 | operation find count = 13
Luphawu Dlamini | operation insert count 7 | operation find count = 13
Onthatile Mthembu | operation insert count 7 | operation find count = 19
Junior Booi | operation insert count 7 | operation find count = 17
Rorisang Maseko | operation insert count 8 | operation find count = 17
Ayabonga Motaung | operation insert count 8 | operation find count = 17
Lwandle Mathebula | operation insert count 8 | operation find count = 19
Warona Klaas | operation insert count 8 | operation find count = 15
Rethabile Booi | operation insert count 7 | operation find count = 13
Nkosenhle Van | operation insert count 7 | operation find count = 17
Katleho Shabangu | operation insert count 8 | operation find count = 13
Bokang Motaung | operation insert count 9 | operation find count = 15
Kamogelo Buthelezi | operation insert count 7 | operation find count = 15
Katleho Gumede | operation insert count 7 | operation find count = 15
Kungawo Daniels | operation insert count 7 | operation find count = 15
Luke Khumalo | operation insert count 7 | operation find count = 15
Katleho Jack | operation insert count 7 | operation find count = 15
Siphesihle Booi | operation insert count 8 | operation find count = 15
Omphile Nkosi | operation insert count 8 | operation find count = 11
Reatlegile Hendricks | operation insert count 8 | operation find count = 15
Thato Peter | operation insert count 8 | operation find count = 17
Leano Nkuna | operation insert count 8 | operation find count = 17
Karabo Hendricks | operation insert count 7 | operation find count = 17
Omphile Olyn | operation insert count 9 | operation find count = 15
Onthatile Motaung | operation insert count 8 | operation find count = 17
Tshegofatso Klaas | operation insert count 8 | operation find count = 13
Bokang Khumalo | operation insert count 8 | operation find count = 13
Mpho Motloung | operation insert count 8 | operation find count = 15
Iminathi Khoza | operation insert count 7 | operation find count = 13
Remofilwe Nkosi | operation insert count 8 | operation find count = 13
Melokuhle Van | operation insert count 7 | operation find count = 13
Omaatla Dlamini | operation insert count 8 | operation find count = 9
Siyabonga Mogale | operation insert count 9 | operation find count = 19
Aphelele Cloete | operation insert count 8 | operation find count = 19
Amahle Abrahams | operation insert count 8 | operation find count = 17
Remofilwe Motloung | operation insert count 8 | operation find count = 19
Minenhle Jacobs | operation insert count 4 | operation find count = 15
Lesedi Booi | operation insert count 8 | operation find count = 17
Lingomso Mofokeng | operation insert count 8 | operation find count = 15
Lethokuhle Petersen | operation insert count 8 | operation find count = 13
Hlelokuhle Visagie | operation insert count 8 | operation find count = 13
Thandolwethu Maluleke | operation insert count 8 | operation find count = 13
Amohelang Petersen | operation insert count 8 | operation find count = 15
Reneilwe Mohlala | operation insert count 8 | operation find count = 17
Bayanda Mathebula | operation insert count 9 | operation find count = 17
Bokang Mohlala | operation insert count 8 | operation find count = 17
Kamohelo Daniels | operation insert count 7 | operation find count = 11
Alunamda Hendricks | operation insert count 8 | operation find count = 13
Nkosenhle Mudau | operation insert count 7 | operation find count = 17
Olerato Modise | operation insert count 8 | operation find count = 17
Leah Abrahams | operation insert count 8 | operation find count = 11
Bayanda Gumede | operation insert count 8 | operation find count = 15
Alunamda Baloyi | operation insert count 8 | operation find count = 15
Siphosethu Chauke | operation insert count 8 | operation find count = 19
Asemahle Mkhize | operation insert count 8 | operation find count = 17
Faith Baloyi | operation insert count 8 | operation find count = 15
Othalive Tsotetsi | operation insert count 7 | operation find count = 17
Ofentse Mnisi | operation insert count 7 | operation find count = 19
Olothando Jack | operation insert count 7 | operation find count = 13
Katlego Peter | operation insert count 8 | operation find count = 19
Iminathi Daniels | operation insert count 8 | operation find count = 15
Omphile Olyn | operation insert count 9 | operation find count = 17
Liam Peter | operation insert count 8 | operation find count = 17
Amohelang Shabangu | operation insert count 8 | operation find count = 15
Leano Abrahams | operation insert count 8 | operation find count = 15
Lethabo Motloung | operation insert count 9 | operation find count = 13
Bokang Mohlala | operation insert count 9 | operation find count = 15
Liam Tsotetsi | operation insert count 8 | operation find count = 17
Alwande Khoza | operation insert count 8 | operation find count = 15
Lethokuhle Booysen | operation insert count 8 | operation find count = 17
Bokang Booysen | operation insert count 8 | operation find count = 13
Melokuhle Mogale | operation insert count 9 | operation find count = 17
Lesedi Booysen | operation insert count 9 | operation find count = 11
Olerato Hendricks | operation insert count 8 | operation find count = 17
Amohelang Molefe | operation insert count 7 | operation find count = 13
Kamogelo Booysen | operation insert count 9 | operation find count = 15
Ofentse Dlamini | operation insert count 9 | operation find count = 15
Phenyo Sithole | operation insert count 8 | operation find count = 17
Thandolwethu Mnisi | operation insert count 8 | operation find count = 15
Luke Williams | operation insert count 8 | operation find count = 17
Bokang Molefe | operation insert count 8 | operation find count = 15
Lethokuhle Mogale | operation insert count 9 | operation find count = 17
Katlego Mkhize | operation insert count 8 | operation find count = 15
Leah Mosia | operation insert count 8 | operation find count = 17
Lethabo Booysen | operation insert count 9 | operation find count = 15
Likuwe Olyn | operation insert count 7 | operation find count = 15
Olerato Mogale | operation insert count 9 | operation find count = 19
Emihle Ngwenya | operation insert count 8 | operation find count = 15
Khayone Beukes | operation insert count 8 | operation find count = 15
Katlego Van | operation insert count 8 | operation find count = 19
Bokamoso Booysen | operation insert count 7 | operation find count = 15
Letlotlo Ngobeni | operation insert count 8 | operation find count = 15
Lingomso Mthembu | operation insert count 8 | operation find count = 15
Lesedi Klaas | operation insert count 9 | operation find count = 13
Ofentse Mosia | operation insert count 9 | operation find count = 15
Liam Smith | operation insert count 8 | operation find count = 13
Amogelang Radebe | operation insert count 9 | operation find count = 15
Ava Maseko | operation insert count 9 | operation find count = 17
Thandolwethu Daniels | operation insert count 7 | operation find count = 15
Rorisang Nkuna | operation insert count 8 | operation find count = 17
Karabo Louw | operation insert count 8 | operation find count = 15
Oratilwe Mofokeng | operation insert count 9 | operation find count = 17
Kungawo Dlamini | operation insert count 8 | operation find count = 15
Amohelang Tshabalala | operation insert count 8 | operation find count = 19
Remofilwe Cloete | operation insert count 8 | operation find count = 17
Angel Peter | operation insert count 9 | operation find count = 15
Lethokuhle Mahlangu | operation insert count 8 | operation find count = 19
Rorisang Visagie | operation insert count 8 | operation find count = 13
Liam Smith | operation insert count 8 | operation find count = 13
Isabella Daniels | operation insert count 8 | operation find count = 13
Karabo Radebe | operation insert count 8 | operation find count = 15
Kamohelo Beukes | operation insert count 9 | operation find count = 17
Lisakhanya Mathebula | operation insert count 8 | operation find count = 9
Junior Ngwenya | operation insert count 9 | operation find count = 17
Ofentse Adams | operation insert count 8 | operation find count = 11
Omaatla Ngcobo | operation insert count 8 | operation find count = 15
Likuwe Daniels | operation insert count 8 | operation find count = 15
Amogelang Adams | operation insert count 8 | operation find count = 15
Lwandle Mnisi | operation insert count 9 | operation find count = 17
Bokang Ndlovu | operation insert count 9 | operation find count = 17
Jayden Booi | operation insert count 9 | operation find count = 15
Esihle Mahlangu | operation insert count 8 | operation find count = 17
Kungawo Ndlovu | operation insert count 8 | operation find count = 17
Naledi Mosia | operation insert count 9 | operation find count = 19
Ava Shabangu | operation insert count 8 | operation find count = 17
Likuwe Ndlovu | operation insert count 9 | operation find count = 15
Hlelokuhle Cloete | operation insert count 8 | operation find count = 19
Mia Smith | operation insert count 9 | operation find count = 17
Bokang Baloyi | operation insert count 9 | operation find count = 17
Ofentse Dlamini | operation insert count 9 | operation find count = 15
Lebogang Gumede | operation insert count 8 | operation find count = 17
Esihle Mahlangu | operation insert count 8 | operation find count = 17
Bokamoso Moeng | operation insert count 9 | operation find count = 15
Likuwe Mnisi | operation insert count 9 | operation find count = 19
Likuwe Olyn | operation insert count 7 | operation find count = 15
Siphosethu Motaung | operation insert count 9 | operation find count = 15
Katleho Mathebula | operation insert count 8 | operation find count = 11
Onthatile Davids | operation insert count 8 | operation find count = 17
Phenyo Buthelezi | operation insert count 8 | operation find count = 17
Katlego Ndou | operation insert count 9 | operation find count = 19
Lebogang Louw | operation insert count 9 | operation find count = 13
Blessing Booysen | operation insert count 8 | operation find count = 17
Bonolo Ngobeni | operation insert count 9 | operation find count = 17
Lwandle Nkuna | operation insert count 8 | operation find count = 17
Minenhle Mahlangu | operation insert count 8 | operation find count = 17
Leano Van | operation insert count 7 | operation find count = 17
Luthando Peter | operation insert count 9 | operation find count = 15
Letlotlo Ngobeni | operation insert count 8 | operation find count = 15
Ofentse Nhlapo | operation insert count 8 | operation find count = 17
Liam Jack | operation insert count 8 | operation find count = 17
Letlotlo Adams | operation insert count 9 | operation find count = 17
Blessing Motloung | operation insert count 9 | operation find count = 15
Lethabo Daniels | operation insert count 8 | operation find count = 13
Ayabonga Chauke | operation insert count 8 | operation find count = 15
Blessing Mogale | operation insert count 8 | operation find count = 17
Othalive Dyantyi | operation insert count 8 | operation find count = 15
Liam Dlamini | operation insert count 9 | operation find count = 19
Lethabo Motloung | operation insert count 9 | operation find count = 17
Reatlegile Mosia | operation insert count 9 | operation find count = 19
Othalive Dlamini | operation insert count 9 | operation find count = 17
Liam Maseko | operation insert count 9 | operation find count = 19
Mia Dlamini | operation insert count 9 | operation find count = 17
Luphawu Smith | operation insert count 9 | operation find count = 19
Ayabonga Daniels | operation insert count 9 | operation find count = 13
Junior Dyantyi | operation insert count 8 | operation find count = 17
Bayanda Nhlapo | operation insert count 8 | operation find count = 19
Katlego Malatji | operation insert count 8 | operation find count = 17
Lubanzi Nkuna | operation insert count 9 | operation find count = 19
Tshegofatso Gumede | operation insert count 9 | operation find count = 15
Noah Baloyi | operation insert count 9 | operation find count = 15
Tshegofatso Williams | operation insert count 8 | operation find count = 17
Luke Gumede | operation insert count 9 | operation find count = 11
Bonolo Van | operation insert count 9 | operation find count = 15
Lethokuhle Mthembu | operation insert count 7 | operation find count = 17
Warona Petersen | operation insert count 9 | operation find count = 19
Rorisang Klaas | operation insert count 9 | operation find count = 11
Amogelang Adams | operation insert count 9 | operation find count = 17
Angel Petersen | operation insert count 6 | operation find count = 17
Lebogang Khumalo | operation insert count 9 | operation find count = 17
Kungawo Davids | operation insert count 8 | operation find count = 15
Esihle Modise | operation insert count 9 | operation find count = 17
Omaatla Buthelezi | operation insert count 8 | operation find count = 17
Siphesihle Moloi | operation insert count 9 | operation find count = 17
Tshegofatso Klaas | operation insert count 8 | operation find count = 17
Kamohelo Motloung | operation insert count 10 | operation find count = 17
Mpho Abrahams | operation insert count 9 | operation find count = 17
Luthando Chauke | operation insert count 9 | operation find count = 17
Siphosethu Smith | operation insert count 9 | operation find count = 17
Lwandle Motloung | operation insert count 10 | operation find count = 19
Lethokuhle Mkhize | operation insert count 9 | operation find count = 17
Amogelang Sithole | operation insert count 10 | operation find count = 19
Phenyo Ngwenya | operation insert count 9 | operation find count = 19
Oratile Louw | operation insert count 8 | operation find count = 17
Olerato Shabangu | operation insert count 8 | operation find count = 17
Iminathi Daniels | operation insert count 7 | operation find count = 15
Bokang Maluleke | operation insert count 9 | operation find count = 15
Olerato Sithole | operation insert count 8 | operation find count = 19
Iminathi Mosia | operation insert count 9 | operation find count = 19
Okuhle Mthembu | operation insert count 10 | operation find count = 17
Rorisang Ngwenya | operation insert count 10 | operation find count = 17
Luphawu Radebe | operation insert count 9 | operation find count = 17
Omaatla Mudau | operation insert count 9 | operation find count = 13
Bokamoso Nkosi | operation insert count 8 | operation find count = 15
Esihle Mthembu | operation insert count 8 | operation find count = 17
Lethabo Booysen | operation insert count 9 | operation find count = 15
Faith Ngobeni | operation insert count 10 | operation find count = 13
Kungawo Baloyi | operation insert count 9 | operation find count = 13
Aphelele Davids | operation insert count 8 | operation find count = 15
Nkosenhle Tsotetsi | operation insert count 9 | operation find count = 19
Esihle Madikizela | operation insert count 8 | operation find count = 13
Blessing Adams | operation insert count 9 | operation find count = 17
Blessing Ngobeni | operation insert count 10 | operation find count = 19
Siyabonga Shabangu | operation insert count 8 | operation find count = 17
Banele Maseko | operation insert count 9 | operation find count = 13
Reatlegile Molefe | operation insert count 9 | operation find count = 19
Oratile Baloyi | operation insert count 8 | operation find count = 17
Hlelokuhle Klaas | operation insert count 8 | operation find count = 15
Omphile Louw | operation insert count 9 | operation find count = 15
Blessing Davids | operation insert count 9 | operation find count = 17
Bokamoso Klaas | operation insert count 9 | operation find count = 17
Luphawu Visagie | operation insert count 9 | operation find count = 9
Melokuhle Van | operation insert count 8 | operation find count = 17
Isabella Mohlala | operation insert count 9 | operation find count = 15
Tshegofatso Maluleke | operation insert count 8 | operation find count = 15
Melokuhle Dlamini | operation insert count 9 | operation find count = 19
Jayden Tsotetsi | operation insert count 9 | operation find count = 11
Liam Gumede | operation insert count 9 | operation find count = 15
Amogelang Khumalo | operation insert count 9 | operation find count = 17
Leano Williams | operation insert count 9 | operation find count = 15
Enzokuhle Ngcobo | operation insert count 9 | operation find count = 17
Relebohile Jack | operation insert count 8 | operation find count = 17
Kamohelo Mthembu | operation insert count 9 | operation find count = 15
Siphosethu Madikizela | operation insert count 9 | operation find count = 15
Omaatla Daniels | operation insert count 9 | operation find count = 17
Karabo Maseko | operation insert count 10 | operation find count = 17
Reatlegile Booi | operation insert count 8 | operation find count = 17
Philasande Cloete | operation insert count 9 | operation find count = 15
Junior Van | operation insert count 9 | operation find count = 17
Angel Maluleke | operation insert count 10 | operation find count = 19
Bandile Nkosi | operation insert count 9 | operation find count = 17
Olerato Dyantyi | operation insert count 8 | operation find count = 15
Karabo Mofokeng | operation insert count 9 | operation find count = 17
Katleho Mathebula | operation insert count 9 | operation find count = 17
Mia Moeng | operation insert count 9 | operation find count = 19
Okuhle Adams | operation insert count 9 | operation find count = 17
Sphesihle Klaas | operation insert count 8 | operation find count = 15
Rethabile Moloi | operation insert count 9 | operation find count = 19
Luthando Buthelezi | operation insert count 8 | operation find count = 17
Lubanzi Dlamini | operation insert count 10 | operation find count = 17
Likuwe Petersen | operation insert count 9 | operation find count = 19
Enzokuhle Tshabalala | operation insert count 9 | operation find count = 17
Alunamda Visagie | operation insert count 9 | operation find count = 17
Othalive Cloete | operation insert count 9 | operation find count = 17
Okuhle Booysen | operation insert count 9 | operation find count = 19
Katleho Ngobeni | operation insert count 10 | operation find count = 19
Hlelokuhle Mogale | operation insert count 10 | operation find count = 19
Bandile Mahlangu | operation insert count 9 | operation find count = 19
Bokamoso Radebe | operation insert count 9 | operation find count = 19
Reneilwe Madikizela | operation insert count 9 | operation find count = 19
Faith Jack | operation insert count 9 | operation find count = 19
Jayden Tsotetsi | operation insert count 9 | operation find count = 11
Bokang Smith | operation insert count 9 | operation find count = 19
Joshua Madikizela | operation insert count 8 | operation find count = 17
Emihle Maseko | operation insert count 10 | operation find count = 19
Reatlegile Madikizela | operation insert count 10 | operation find count = 17
Bonolo Hendricks | operation insert count 8 | operation find count = 15
Lwandle Molefe | operation insert count 8 | operation find count = 17
Lebogang Adams | operation insert count 10 | operation find count = 15
Okuhle Maluleke | operation insert count 9 | operation find count = 19
Omphile Moloi | operation insert count 9 | operation find count = 19
Reneilwe Mudau | operation insert count 8 | operation find count = 17
Okuhle Mogale | operation insert count 9 | operation find count = 19
Leah Malatji | operation insert count 10 | operation find count = 19
Kamogelo Radebe | operation insert count 9 | operation find count = 19
Katlego Moloi | operation insert count 10 | operation find count = 17
Liam Ngcobo | operation insert count 9 | operation find count = 19
Nkosenhle Tshabalala | operation insert count 10 | operation find count = 17
Omaatla Baloyi | operation insert count 9 | operation find count = 17
Bokamoso Petersen | operation insert count 9 | operation find count = 17
Rethabile Petersen | operation insert count 9 | operation find count = 19
Joshua Mokoena | operation insert count 8 | operation find count = 17
Onthatile Klaas | operation insert count 8 | operation find count = 17
Amogelang Hendricks | operation insert count 9 | operation find count = 17
Omolemo Mudau | operation insert count 9 | operation find count = 19
Olothando Petersen | operation insert count 9 | operation find count = 19
Esihle Baloyi | operation insert count 9 | operation find count = 19
Olothando Klaas | operation insert count 9 | operation find count = 15
Okuhle Cloete | operation insert count 9 | operation find count = 19
Ofentse Louw | operation insert count 9 | operation find count = 17
Omaatla Shabangu | operation insert count 9 | operation find count = 19
Rethabile Louw | operation insert count 8 | operation find count = 17
Jayden Mudau | operation insert count 9 | operation find count = 19
Ofentse Malatji | operation insert count 10 | operation find count = 21
Enzokuhle Maluleke | operation insert count 10 | operation find count = 17
Amohelang Dlamini | operation insert count 8 | operation find count = 19
Likuwe Olyn | operation insert count 8 | operation find count = 17
Philasande Khoza | operation insert count 8 | operation find count = 15
Remofilwe Hendricks | operation insert count 8 | operation find count = 17
Lesedi Booysen | operation insert count 9 | operation find count = 11
Caleb Maluleke | operation insert count 10 | operation find count = 19
Asemahle Mthembu | operation insert count 9 | operation find count = 15
Kungawo Khoza | operation insert count 9 | operation find count = 17
Oratilwe Tshabalala | operation insert count 10 | operation find count = 19
Emihle Van | operation insert count 10 | operation find count = 19
Othalive Gumede | operation insert count 9 | operation find count = 17
Kamogelo Chauke | operation insert count 9 | operation find count = 19
Okuhle Klaas | operation insert count 9 | operation find count = 17
Lingomso Madikizela | operation insert count 8 | operation find count = 17
Isabella Mahlangu | operation insert count 10 | operation find count = 19
Blessing Petersen | operation insert count 10 | operation find count = 19
Relebohile Dlamini | operation insert count 10 | operation find count = 19
Katleho Baloyi | operation insert count 9 | operation find count = 19
Bokamoso Mudau | operation insert count 9 | operation find count = 19
Ofentse Dyantyi | operation insert count 9 | operation find count = 17
