Warona Klaas | operation insert count 0 | operation find count = 15
Amahle Mathebula | operation insert count 8 | operation find count = 23
Omphile Moloi | operation insert count 7 | operation find count = 17
Kamogelo Mosia | operation insert count 8 | operation find count = 13
Warona Daniels | operation insert count 8 | operation find count = 17
Siphosethu Jacobs | operation insert count 11 | operation find count = 19
Ava Daniels | operation insert count 9 | operation find count = 15
Ava Tsotetsi | operation insert count 8 | operation find count = 15
Joshua Maseko | operation insert count 7 | operation find count = 19
Lebogang Malatji | operation insert count 8 | operation find count = 21
Ofentse Ngcobo | operation insert count 7 | operation find count = 13
Enzokuhle Mofokeng | operation insert count 8 | operation find count = 23
Amogelang Daniels | operation insert count 9 | operation find count = 21
Tshegofatso Visagie | operation insert count 8 | operation find count = 13
Naledi Hendricks | operation insert count 9 | operation find count = 23
Ofentse Mnisi | operation insert count 7 | operation find count = 19
Tshegofatso Mathebula | operation insert count 7 | operation find count = 9
Tshegofatso Witbooi | operation insert count 8 | operation find count = 23
Onthatile Klaas | operation insert count 8 | operation find count = 21
Othalive Louw | operation insert count 8 | operation find count = 15
Junior Booi | operation insert count 8 | operation find count = 21
Letlotlo Tsotetsi | operation insert count 9 | operation find count = 21
Ayabonga Mosia | operation insert count 8 | operation find count = 19
Emihle Modise | operation insert count 7 | operation find count = 19
Othalive Peter | operation insert count 7 | operation find count = 17
Relebohile Booi | operation insert count 8 | operation find count = 21
Luthando Dyantyi | operation insert count 8 | operation find count = 19
Lisakhanya Mathebula | operation insert count 7 | operation find count = 7
Amohelang Van | operation insert count 8 | operation find count = 19
Kamogelo Ngwenya | operation insert count 8 | operation find count = 19
Junior Motaung | operation insert count 8 | operation find count = 19
Jayden Gumede | operation insert count 8 | operation find count = 23
Melokuhle Nkuna | operation insert count 10 | operation find count = 17
Amohelang Tshabalala | operation insert count 8 | operation find count = 11
Thato Motaung | operation insert count 11 | operation find count = 19
Katleho Molefe | operation insert count 8 | operation find count = 13
Amogelang Jack | operation insert count 9 | operation find count = 13
Khayone Daniels | operation insert count 9 | operation find count = 17
Omolemo Nhlapo | operation insert count 7 | operation find count = 21
Letlotlo Daniels | operation insert count 8 | operation find count = 13
Esihle Davids | operation insert count 9 | operation find count = 15
Onthatile Booysen | operation insert count 8 | operation find count = 19
Junior Nkosi | operation insert count 7 | operation find count = 15
Bokamoso Cloete | operation insert count 9 | operation find count = 21
Katlego Nkosi | operation insert count 8 | operation find count = 13
Siphesihle Mahlangu | operation insert count 9 | operation find count = 13
Lethokuhle Moloi | operation insert count 8 | operation find count = 17
Esihle Mahlangu | operation insert count 8 | operation find count = 19
Sphesihle Maseko | operation insert count 6 | operation find count = 9
Hlelokuhle Abrahams | operation insert count 8 | operation find count = 17
Caleb Shabangu | operation insert count 8 | operation find count = 23
Sphesihle Mahlangu | operation insert count 9 | operation find count = 15
Asemahle Shabangu | operation insert count 8 | operation find count = 15
Kamohelo Mohlala | operation insert count 9 | operation find count = 11
Omphile Olyn | operation insert count 13 | operation find count = 21
Lingomso Ngobeni | operation insert count 8 | operation find count = 7
Enzokuhle Ndlovu | operation insert count 8 | operation find count = 19
Reneilwe Smith | operation insert count 8 | operation find count = 19
Tshegofatso Dlamini | operation insert count 9 | operation find count = 19
Bandile Ndou | operation insert count 7 | operation find count = 19
Bokamoso Cloete | operation insert count 9 | operation find count = 11
Lwandle Khumalo | operation insert count 7 | operation find count = 15
Amohelang Cloete | operation insert count 9 | operation find count = 19
Thato Khumalo | operation insert count 8 | operation find count = 21
Liam Booysen | operation insert count 9 | operation find count = 17
Melokuhle Booi | operation insert count 9 | operation find count = 15
Luthando Tsotetsi | operation insert count 9 | operation find count = 19
Joshua Malatji | operation insert count 7 | operation find count = 15
Asemahle Beukes | operation insert count 9 | operation find count = 21
Esihle Davids | operation insert count 10 | operation find count = 19
Enzokuhle Maseko | operation insert count 7 | operation find count = 13
Amogelang Dlamini | operation insert count 8 | operation find count = 21
Aphelele Dlamini | operation insert count 8 | operation find count = 21
Noah Mathebula | operation insert count 8 | operation find count = 11
Esihle Mthembu | operation insert count 8 | operation find count = 19
Onthatile Smith | operation insert count 9 | operation find count = 13
Jayden Moeng | operation insert count 8 | operation find count = 19
Onthatile Baloyi | operation insert count 8 | operation find count = 19
Mia Booysen | operation insert count 8 | operation find count = 19
Bandile Nkosi | operation insert count 8 | operation find count = 19
Reneilwe Molefe | operation insert count 8 | operation find count = 11
Ofentse Dyantyi | operation insert count 9 | operation find count = 17
Lebogang Beukes | operation insert count 9 | operation find count = 15
Kamohelo Nkuna | operation insert count 7 | operation find count = 19
Katlego Mohlala | operation insert count 9 | operation find count = 15
Joshua Mudau | operation insert count 8 | operation find count = 13
Lethabo Smith | operation insert count 9 | operation find count = 11
Oratilwe Booysen | operation insert count 8 | operation find count = 17
Karabo Modise | operation insert count 8 | operation find count = 21
Kamogelo Sithole | operation insert count 7 | operation find count = 17
Rethabile Petersen | operation insert count 10 | operation find count = 15
Karabo Jack | operation insert count 9 | operation find count = 17
Ofentse Davids | operation insert count 7 | operation find count = 21
Omaatla Adams | operation insert count 8 | operation find count = 11
Likuwe Sithole | operation insert count 8 | operation find count = 17
Oratilwe Petersen | operation insert count 8 | operation find count = 19
Lwandle Daniels | operation insert count 9 | operation find count = 17
Othalive Madikizela | operation insert count 9 | operation find count = 11
Alwande Shabangu | operation insert count 8 | operation find count = 17
Lwandle Peter | operation insert count 7 | operation find count = 19
Lisakhanya Motloung | operation insert count 8 | operation find count = 15
Karabo Smith | operation insert count 9 | operation find count = 17
Reatlegile Mahlangu | operation insert count 8 | operation find count = 15
Esihle Davids | operation insert count 10 | operation find count = 17
Thandolwethu Nkosi | operation insert count 7 | operation find count = 15
Omphile Smith | operation insert count 8 | operation find count = 21
Likuwe Daniels | operation insert count 10 | operation find count = 17
Lubanzi Moloi | operation insert count 9 | operation find count = 19
Omaatla Malatji | operation insert count 9 | operation find count = 23
Warona Modise | operation insert count 10 | operation find count = 15
Mia Motloung | operation insert count 9 | operation find count = 11
Lesedi Abrahams | operation insert count 9 | operation find count = 13
Onthatile Olyn | operation insert count 9 | operation find count = 19
Katlego Mudau | operation insert count 12 | operation find count = 19
Faith Khoza | operation insert count 9 | operation find count = 13
Leah Klaas | operation insert count 8 | operation find count = 9
Amogelang Booi | operation insert count 8 | operation find count = 15
Asemahle Witbooi | operation insert count 6 | operation find count = 17
Lubanzi Tsotetsi | operation insert count 9 | operation find count = 21
Omphile Khoza | operation insert count 9 | operation find count = 19
Katleho Molefe | operation insert count 8 | operation find count = 13
Likuwe Ngcobo | operation insert count 8 | operation find count = 15
Faith Olyn | operation insert count 8 | operation find count = 23
Noah Molefe | operation insert count 9 | operation find count = 15
Bokang Louw | operation insert count 8 | operation find count = 11
Tshegofatso Molefe | operation insert count 9 | operation find count = 19
Lebogang Radebe | operation insert count 8 | operation find count = 23
Kamogelo Nkosi | operation insert count 8 | operation find count = 19
Warona Beukes | operation insert count 9 | operation find count = 19
Omaatla Smith | operation insert count 9 | operation find count = 17
Katlego Motloung | operation insert count 8 | operation find count = 13
Kamogelo Madikizela | operation insert count 9 | operation find count = 15
Blessing Buthelezi | operation insert count 9 | operation find count = 19
Bokamoso Mahlangu | operation insert count 8 | operation find count = 23
Bokang Dlamini | operation insert count 7 | operation find count = 5
Alunamda Motloung | operation insert count 9 | operation find count = 17
Oratilwe Visagie | operation insert count 9 | operation find count = 15
Lingomso Dyantyi | operation insert count 9 | operation find count = 21
Enzokuhle Ngobeni | operation insert count 8 | operation find count = 15
Warona Sithole | operation insert count 8 | operation find count = 19
Bonolo Klaas | operation insert count 9 | operation find count = 21
Amohelang Mahlangu | operation insert count 10 | operation find count = 17
Jayden Mathebula | operation insert count 8 | operation find count = 17
Asemahle Louw | operation insert count 9 | operation find count = 17
Kamogelo Madikizela | operation insert count 9 | operation find count = 15
Jayden Dlamini | operation insert count 10 | operation find count = 19
Luthando Mogale | operation insert count 9 | operation find count = 21
Oratilwe Booysen | operation insert count 8 | operation find count = 17
Elijah Chauke | operation insert count 8 | operation find count = 19
Aphelele Jack | operation insert count 9 | operation find count = 23
Phenyo Maluleke | operation insert count 9 | operation find count = 15
Junior Witbooi | operation insert count 12 | operation find count = 21
Luthando Tsotetsi | operation insert count 9 | operation find count = 19
Olothando Radebe | operation insert count 8 | operation find count = 15
Bayanda Sithole | operation insert count 9 | operation find count = 19
Relebohile Motloung | operation insert count 11 | operation find count = 19
Blessing Louw | operation insert count 10 | operation find count = 19
Oratile Klaas | operation insert count 9 | operation find count = 19
Thandolwethu Mosia | operation insert count 8 | operation find count = 15
Tshegofatso Ndlovu | operation insert count 8 | operation find count = 13
Elijah Sithole | operation insert count 9 | operation find count = 19
Lingomso Jack | operation insert count 9 | operation find count = 19
Reatlegile Motaung | operation insert count 8 | operation find count = 21
Reatlegile Mudau | operation insert count 7 | operation find count = 17
Phenyo Modise | operation insert count 9 | operation find count = 21
Katlego Malatji | operation insert count 9 | operation find count = 23
Enzokuhle Radebe | operation insert count 8 | operation find count = 17
Esihle Smith | operation insert count 9 | operation find count = 21
Alunamda Khoza | operation insert count 1 | operation find count = 3
Olerato Ngwenya | operation insert count 7 | operation find count = 23
Thandolwethu Abrahams | operation insert count 10 | operation find count = 11
Asemahle Adams | operation insert count 9 | operation find count = 23
Leah Madikizela | operation insert count 9 | operation find count = 21
Aphelele Louw | operation insert count 10 | operation find count = 19
Ayabonga Maluleke | operation insert count 9 | operation find count = 15
Karabo Modise | operation insert count 9 | operation find count = 19
Karabo Dlamini | operation insert count 10 | operation find count = 17
Karabo Shabangu | operation insert count 8 | operation find count = 21
Karabo Mathebula | operation insert count 8 | operation find count = 19
Okuhle Buthelezi | operation insert count 8 | operation find count = 13
Angel Klaas | operation insert count 9 | operation find count = 13
Alwande Hendricks | operation insert count 7 | operation find count = 15
Lethokuhle Ndlovu | operation insert count 8 | operation find count = 23
Okuhle Ndlovu | operation insert count 9 | operation find count = 19
Reatlegile Shabangu | operation insert count 8 | operation find count = 19
Nkosenhle Maseko | operation insert count 9 | operation find count = 17
Liam Peter | operation insert count 8 | operation find count = 11
Onthatile Maluleke | operation insert count 8 | operation find count = 17
Lubanzi Dyantyi | operation insert count 9 | operation find count = 19
Amahle Mosia | operation insert count 8 | operation find count = 23
Blessing Shabangu | operation insert count 8 | operation find count = 23
Relebohile Mudau | operation insert count 8 | operation find count = 19
Amahle Khoza | operation insert count 9 | operation find count = 17
Katlego Hendricks | operation insert count 9 | operation find count = 17
Esihle Nhlapo | operation insert count 11 | operation find count = 19
Bonolo Klaas | operation insert count 9 | operation find count = 17
Lisakhanya Mnisi | operation insert count 9 | operation find count = 17
Blessing Abrahams | operation insert count 9 | operation find count = 15
Asemahle Molefe | operation insert count 9 | operation find count = 19
Reatlegile Mokoena | operation insert count 8 | operation find count = 15
Joshua Petersen | operation insert count 9 | operation find count = 17
Phenyo Tsotetsi | operation insert count 9 | operation find count = 15
Iminathi Khoza | operation insert count 9 | operation find count = 17
Junior Van | operation insert count 8 | operation find count = 15
Lethabo Petersen | operation insert count 9 | operation find count = 19
Khayone Buthelezi | operation insert count 9 | operation find count = 17
Kamogelo Ndlovu | operation insert count 10 | operation find count = 21
Noah Jack | operation insert count 10 | operation find count = 23
Phenyo Williams | operation insert count 8 | operation find count = 17
Omolemo Chauke | operation insert count 8 | operation find count = 21
Leah Chauke | operation insert count 9 | operation find count = 13
Lwandle Khoza | operation insert count 9 | operation find count = 11
Philasande Booysen | operation insert count 8 | operation find count = 15
Likuwe Mogale | operation insert count 10 | operation find count = 15
Melokuhle Ndou | operation insert count 8 | operation find count = 21
Luphawu Smith | operation insert count 10 | operation find count = 15
Emihle Chauke | operation insert count 9 | operation find count = 15
Othalive Maseko | operation insert count 10 | operation find count = 19
Mia Shabangu | operation insert count 9 | operation find count = 17
Mia Hendricks | operation insert count 10 | operation find count = 15
Likuwe Mahlangu | operation insert count 8 | operation find count = 13
Mia Booi | operation insert count 9 | operation find count = 19
Lwandle Motloung | operation insert count 8 | operation find count = 17
Mia Ndou | operation insert count 9 | operation find count = 17
Enzokuhle Khoza | operation insert count 9 | operation find count = 19
Lebogang Smith | operation insert count 10 | operation find count = 19
Warona Modise | operation insert count 10 | operation find count = 15
Lingomso Olyn | operation insert count 9 | operation find count = 19
Phenyo Jack | operation insert count 8 | operation find count = 21
Blessing Mokoena | operation insert count 8 | operation find count = 15
Aphelele Gumede | operation insert count 9 | operation find count = 17
Kamogelo Louw | operation insert count 9 | operation find count = 15
Esihle Booi | operation insert count 11 | operation find count = 21
Thato Olyn | operation insert count 9 | operation find count = 13
Kamogelo Klaas | operation insert count 10 | operation find count = 15
Luthando Smith | operation insert count 10 | operation find count = 21
Lisakhanya Mogale | operation insert count 10 | operation find count = 21
Warona Tshabalala | operation insert count 12 | operation find count = 19
Aphelele Mofokeng | operation insert count 8 | operation find count = 19
Siyabonga Davids | operation insert count 9 | operation find count = 19
Esihle Jacobs | operation insert count 9 | operation find count = 21
Siphosethu Ngobeni | operation insert count 9 | operation find count = 13
Ofentse Mofokeng | operation insert count 8 | operation find count = 19
Kamogelo Williams | operation insert count 9 | operation find count = 15
Tshegofatso Dlamini | operation insert count 9 | operation find count = 19
Thandolwethu Jack | operation insert count 9 | operation find count = 19
Mia Moeng | operation insert count 9 | operation find count = 15
Lebogang Mnisi | operation insert count 10 | operation find count = 19
Letlotlo Moloi | operation insert count 9 | operation find count = 19
Alunamda Mkhize | operation insert count 9 | operation find count = 19
Lisakhanya Maseko | operation insert count 10 | operation find count = 19
Oratile Motaung | operation insert count 8 | operation find count = 15
Tshegofatso Madikizela | operation insert count 9 | operation find count = 21
Leano Gumede | operation insert count 9 | operation find count = 21
Emihle Madikizela | operation insert count 10 | operation find count = 23
Relebohile Mthembu | operation insert count 8 | operation find count = 19
Leah Moloi | operation insert count 9 | operation find count = 21
Angel Mokoena | operation insert count 8 | operation find count = 19
Elijah Ndlovu | operation insert count 13 | operation find count = 21
Kamogelo Mnisi | operation insert count 10 | operation find count = 25
Onthatile Williams | operation insert count 10 | operation find count = 19
Onthatile Booysen | operation insert count 8 | operation find count = 19
Phenyo Maluleke | operation insert count 10 | operation find count = 19
Relebohile Tsotetsi | operation insert count 10 | operation find count = 21
Reneilwe Mohlala | operation insert count 11 | operation find count = 17
Likuwe Tshabalala | operation insert count 8 | operation find count = 17
Esihle Davids | operation insert count 10 | operation find count = 19
Emihle Modise | operation insert count 9 | operation find count = 21
Leano Mogale | operation insert count 9 | operation find count = 17
Noah Malatji | operation insert count 9 | operation find count = 19
Tshegofatso Adams | operation insert count 9 | operation find count = 17
Katlego Mosia | operation insert count 9 | operation find count = 25
Omphile Modise | operation insert count 9 | operation find count = 21
Kamohelo Motloung | operation insert count 9 | operation find count = 17
Mpho Abrahams | operation insert count 10 | operation find count = 17
Mia Klaas | operation insert count 9 | operation find count = 15
Rorisang Motloung | operation insert count 10 | operation find count = 17
Ofentse Jacobs | operation insert count 9 | operation find count = 23
Reneilwe Moloi | operation insert count 10 | operation find count = 21
Reatlegile Chauke | operation insert count 10 | operation find count = 19
Naledi Witbooi | operation insert count 9 | operation find count = 17
Ofentse Olyn | operation insert count 10 | operation find count = 15
Amohelang Gumede | operation insert count 9 | operation find count = 21
Katlego Modise | operation insert count 10 | operation find count = 23
Enzokuhle Ngcobo | operation insert count 9 | operation find count = 21
Bokang Ngobeni | operation insert count 8 | operation find count = 17
Enzokuhle Radebe | operation insert count 9 | operation find count = 21
Remofilwe Booysen | operation insert count 10 | operation find count = 23
Lwandle Mudau | operation insert count 9 | operation find count = 23
Katleho Mosia | operation insert count 9 | operation find count = 23
Thandolwethu Adams | operation insert count 9 | operation find count = 21
Khayone Mofokeng | operation insert count 9 | operation find count = 21
Alwande Peter | operation insert count 8 | operation find count = 13
Khayone Hendricks | operation insert count 10 | operation find count = 21
Oratilwe Dlamini | operation insert count 10 | operation find count = 21
Junior Dyantyi | operation insert count 10 | operation find count = 19
Kungawo Mudau | operation insert count 9 | operation find count = 17
Joshua Madikizela | operation insert count 10 | operation find count = 23
Lingomso Madikizela | operation insert count 10 | operation find count = 21
Caleb Dlamini | operation insert count 11 | operation find count = 21
Caleb Tshabalala | operation insert count 9 | operation find count = 15
Lethokuhle Louw | operation insert count 9 | operation find count = 13
Enzokuhle Moeng | operation insert count 10 | operation find count = 23
Okuhle Maluleke | operation insert count 9 | operation find count = 19
Katlego Cloete | operation insert count 9 | operation find count = 21
Bayanda Beukes | operation insert count 9 | operation find count = 23
Angel Gumede | operation insert count 10 | operation find count = 23
