Okuhle Booysen | operation insert count 0 | operation find count = 5
Amohelang Hendricks | operation insert count 8 | operation find count = 15
Onthatile Tshabalala | operation insert count 8 | operation find count = 15
Amahle Khoza | operation insert count 8 | operation find count = 11
Bonolo Witbooi | operation insert count 9 | operation find count = 17
Kamogelo Nkuna | operation insert count 8 | operation find count = 17
Alunamda Hendricks | operation insert count 9 | operation find count = 19
Omaatla Mudau | operation insert count 10 | operation find count = 17
Siphosethu Madikizela | operation insert count 8 | operation find count = 19
Lesedi Beukes | operation insert count 9 | operation find count = 13
Angel Jacobs | operation insert count 8 | operation find count = 21
Onthatile Peter | operation insert count 8 | operation find count = 19
Esihle Tsotetsi | operation insert count 8 | operation find count = 21
Lethabo Nkuna | operation insert count 9 | operation find count = 13
Hlelokuhle Olyn | operation insert count 10 | operation find count = 23
Lingomso Nkosi | operation insert count 8 | operation find count = 21
Bonolo Nhlapo | operation insert count 8 | operation find count = 21
Enzokuhle Louw | operation insert count 9 | operation find count = 17
Aphelele Motloung | operation insert count 8 | operation find count = 23
Joshua Booi | operation insert count 9 | operation find count = 15
Okuhle Mkhize | operation insert count 9 | operation find count = 11
Onthatile Peter | operation insert count 8 | operation find count = 17
Ava Maseko | operation insert count 10 | operation find count = 21
Aphelele Booysen | operation insert count 8 | operation find count = 17
Omaatla Malatji | operation insert count 10 | operation find count = 17
Bokamoso Sithole | operation insert count 9 | operation find count = 15
Ava Louw | operation insert count 9 | operation find count = 25
Leah Davids | operation insert count 8 | operation find count = 19
Remofilwe Khoza | operation insert count 8 | operation find count = 17
Amohelang Cloete | operation insert count 7 | operation find count = 13
Omaatla Chauke | operation insert count 11 | operation find count = 17
Lesedi Modise | operation insert count 9 | operation find count = 17
Luke Witbooi | operation insert count 9 | operation find count = 15
Katlego Mohlala | operation insert count 10 | operation find count = 21
Kamohelo Louw | operation insert count 10 | operation find count = 25
Olerato Shabangu | operation insert count 8 | operation find count = 21
Okuhle Adams | operation insert count 10 | operation find count = 21
Kamohelo Madikizela | operation insert count 9 | operation find count = 25
Mia Motloung | operation insert count 8 | operation find count = 23
Lesedi Maluleke | operation insert count 6 | operation find count = 13
Tshegofatso Williams | operation insert count 9 | operation find count = 25
Okuhle Cloete | operation insert count 9 | operation find count = 17
Jayden Petersen | operation insert count 8 | operation find count = 23
Amohelang Shabangu | operation insert count 9 | operation find count = 17
Lubanzi Sithole | operation insert count 11 | operation find count = 19
Reatlegile Mahlangu | operation insert count 10 | operation find count = 17
Lesedi Booysen | operation insert count 11 | operation find count = 19
Katleho Khoza | operation insert count 9 | operation find count = 19
Lwandle Moloi | operation insert count 10 | operation find count = 25
Amahle Davids | operation insert count 8 | operation find count = 17
Letlotlo Moloi | operation insert count 10 | operation find count = 15
Lubanzi Mohlala | operation insert count 8 | operation find count = 19
Joshua Maseko | operation insert count 10 | operation find count = 17
Iminathi Daniels | operation insert count 9 | operation find count = 23
Khayone Motloung | operation insert count 8 | operation find count = 23
Amohelang Mudau | operation insert count 9 | operation find count = 17
Melokuhle Nkosi | operation insert count 8 | operation find count = 19
Lingomso Molefe | operation insert count 10 | operation find count = 19
Noah Jack | operation insert count 8 | operation find count = 21
Bonolo Nhlapo | operation insert count 9 | operation find count = 25
Ava Mahlangu | operation insert count 9 | operation find count = 13
Siphesihle Mahlangu | operation insert count 11 | operation find count = 19
Iminathi Jacobs | operation insert count 8 | operation find count = 13
Angel Petersen | operation insert count 8 | operation find count = 19
Emihle Mogale | operation insert count 9 | operation find count = 17
Oratile Louw | operation insert count 11 | operation find count = 19
Lethabo Tshabalala | operation insert count 8 | operation find count = 13
Amahle Malatji | operation insert count 9 | operation find count = 19
Oratilwe Booi | operation insert count 9 | operation find count = 17
Oratile Tsotetsi | operation insert count 9 | operation find count = 23
Kamohelo Beukes | operation insert count 9 | operation find count = 23
Likuwe Ngcobo | operation insert count 9 | operation find count = 21
Nkosenhle Mthembu | operation insert count 8 | operation find count = 11
Leano Khoza | operation insert count 9 | operation find count = 21
Khayone Peter | operation insert count 9 | operation find count = 23
Emihle Klaas | operation insert count 9 | operation find count = 23
Philasande Davids | operation insert count 8 | operation find count = 19
Ofentse Sithole | operation insert count 9 | operation find count = 15
Khayone Dyantyi | operation insert count 9 | operation find count = 21
Rethabile Motloung | operation insert count 9 | operation find count = 21
Bokang Cloete | operation insert count 10 | operation find count = 15
Rorisang Witbooi | operation insert count 9 | operation find count = 19
Katlego Mthembu | operation insert count 8 | operation find count = 19
Amahle Cloete | operation insert count 9 | operation find count = 15
Junior Mnisi | operation insert count 9 | operation find count = 23
Lethokuhle Daniels | operation insert count 9 | operation find count = 17
Bonolo Tsotetsi | operation insert count 9 | operation find count = 19
Amohelang Madikizela | operation insert count 10 | operation find count = 15
Blessing Booi | operation insert count 9 | operation find count = 19
Melokuhle Ndou | operation insert count 11 | operation find count = 21
Kamogelo Tsotetsi | operation insert count 9 | operation find count = 23
Luphawu Booysen | operation insert count 8 | operation find count = 15
Oratilwe Visagie | operation insert count 9 | operation find count = 21
Angel Baloyi | operation insert count 9 | operation find count = 19
Kungawo Mkhize | operation insert count 10 | operation find count = 15
Bayanda Booi | operation insert count 10 | operation find count = 23
Lebogang Khoza | operation insert count 9 | operation find count = 25
Banele Nkosi | operation insert count 8 | operation find count = 23
Kamohelo Klaas | operation insert count 10 | operation find count = 19
Ofentse Mkhize | operation insert count 10 | operation find count = 19
Thandolwethu Daniels | operation insert count 8 | operation find count = 21
Alunamda Nkosi | operation insert count 7 | operation find count = 21
Melokuhle Mofokeng | operation insert count 9 | operation find count = 17
Faith Nkosi | operation insert count 9 | operation find count = 15
Luke Baloyi | operation insert count 9 | operation find count = 21
Lubanzi Maseko | operation insert count 9 | operation find count = 23
Lingomso Mosia | operation insert count 10 | operation find count = 17
Amohelang Tshabalala | operation insert count 8 | operation find count = 21
Jayden Khumalo | operation insert count 12 | operation find count = 21
Oratilwe Smith | operation insert count 9 | operation find count = 21
Nkosenhle Adams | operation insert count 10 | operation find count = 13
Lwandle Cloete | operation insert count 9 | operation find count = 23
Lingomso Maluleke | operation insert count 9 | operation find count = 19
Naledi Dyantyi | operation insert count 9 | operation find count = 19
Bonolo Motaung | operation insert count 9 | operation find count = 21
Angel Van | operation insert count 9 | operation find count = 21
Amogelang Motloung | operation insert count 8 | operation find count = 25
Reatlegile Khumalo | operation insert count 8 | operation find count = 19
Lethokuhle Khumalo | operation insert count 9 | operation find count = 13
Omolemo Maseko | operation insert count 9 | operation find count = 23
Kamogelo Nkuna | operation insert count 9 | operation find count = 23
Lubanzi Van | operation insert count 9 | operation find count = 19
Liam Smith | operation insert count 9 | operation find count = 19
Blessing Dlamini | operation insert count 9 | operation find count = 15
Reneilwe Malatji | operation insert count 9 | operation find count = 19
Lethabo Sithole | operation insert count 9 | operation find count = 21
Enzokuhle Shabangu | operation insert count 9 | operation find count = 17
Kungawo Mofokeng | operation insert count 10 | operation find count = 17
Luke Abrahams | operation insert count 8 | operation find count = 23
Jayden Mthembu | operation insert count 8 | operation find count = 15
Aphelele Moloi | operation insert count 10 | operation find count = 25
Olerato Tsotetsi | operation insert count 9 | operation find count = 23
Melokuhle Mogale | operation insert count 5 | operation find count = 9
Letlotlo Mkhize | operation insert count 11 | operation find count = 19
Lesedi Molefe | operation insert count 10 | operation find count = 23
Bayanda Baloyi | operation insert count 9 | operation find count = 19
Olothando Mofokeng | operation insert count 10 | operation find count = 19
